artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
All Saints,Pure Shores,268746,False,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
*NSYNC,It's Gonna Be Me,191040,False,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
Backstreet Boys,Shape of My Heart,230093,False,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,pop
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,False,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
Britney Spears,Lucky,206226,False,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
Eminem,Stan,404106,True,2000,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,False,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop
Train,Drops of Jupiter (Tell Me),259933,False,2001,77,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,pop
Geri Halliwell,It's Raining Men,254640,False,2001,62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
Britney Spears,I'm a Slave 4 U,203600,False,2001,69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,True,2000,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,metal
Lasgo,Something,220973,False,2001,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,False,2006,54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,False,2001,54,0.668,0.772,9,-5.4,0,0.0307,0.123,0.0,0.341,0.911,118.011,pop
Blue,All Rise,223546,False,2001,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0.0,0.165,0.931,97.996,pop
Dido,Thank You,218360,False,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
Roger Sanchez,Another Chance,452906,False,2000,50,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,340920,True,2001,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,hip hop
2Pac,Until The End Of Time,266506,True,2001,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0.0,0.197,0.375,96.976,hip hop
Jamiroquai,Little L,295400,False,2001,65,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,pop
Five,Let's Dance - Radio Edit,218626,False,2001,47,0.631,0.821,4,-7.853,0,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,False,2001,54,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
Madonna,Don't Tell Me,280973,False,2000,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
Blue,If You Come Back,207560,False,2001,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0.0,0.0467,0.701,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,False,2001,58,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
Afroman,Because I Got High,197760,True,2001,68,0.802,0.341,7,-8.56,1,0.488,0.169,0.0,0.0783,0.849,166.01,hip hop
S Club 7,Don't Stop Movin',233626,False,2001,63,0.822,0.672,7,-6.133,1,0.0329,0.0285,0.0,0.213,0.91,117.033,pop
The Supermen Lovers,Starlight - Radio Edit,234400,False,2001,61,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487,Dance/Electronic
S Club 7,Have You Ever,201533,False,2001,60,0.585,0.702,0,-5.734,1,0.0325,0.538,0.0,0.216,0.51,139.909,pop
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,False,2002,46,0.836,0.762,7,-5.044,0,0.0598,0.0826,5.48e-05,0.102,0.941,133.592,pop
DB Boulevard,Point Of View - Radio Edit,231166,False,2018,0,0.676,0.715,6,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006,Dance/Electronic
Atomic Kitten,Whole Again,185013,False,2001,66,0.747,0.706,4,-4.653,1,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,False,2001,54,0.847,0.877,2,-5.424,1,0.0493,0.124,0.0,0.148,0.764,131.044,Dance/Electronic
So Solid Crew,21 Seconds,302826,True,2001,51,0.607,0.637,1,-11.072,1,0.241,0.0191,0.0,0.124,0.818,137.03,Dance/Electronic
JAY-Z,Izzo (H.O.V.A.),240626,True,2001,63,0.618,0.844,1,-4.051,0,0.342,0.0178,0.000126,0.0634,0.697,84.411,hip hop
OPM,Heaven Is a Halfpipe (If I Die),257426,True,2000,56,0.743,0.894,8,-6.886,1,0.0349,0.0755,0.00283,0.367,0.77,95.9,rock
*NSYNC,Gone,292000,False,2001,45,0.699,0.403,11,-8.564,0,0.0614,0.421,0.0,0.126,0.5,113.922,pop
Eminem,Without Me,290320,True,2002,87,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,hip hop
Avril Lavigne,Complicated,244506,False,2002,78,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,pop
The Calling,Wherever You Will Go,208600,False,2001,72,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,pop
Eminem,'Till I Collapse,297786,True,2002,85,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,hip hop
Madonna,Die Another Day,276360,False,2003,53,0.792,0.797,0,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,False,2019,40,0.583,0.643,9,-7.486,0,0.355,0.171,0.0,0.0395,0.7,195.685,pop
Chad Kroeger,Hero (feat. Josey Scott),200480,False,2003,66,0.427,0.843,4,-4.54,1,0.0364,0.00216,0.0,0.179,0.304,147.387,metal
Britney Spears,Overprotected - Radio Edit,198600,False,2001,61,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,pop
Blue,One Love,207186,False,2002,60,0.683,0.722,8,-4.039,0,0.0358,0.0243,4.2e-05,0.35,0.854,95.012,pop
Céline Dion,A New Day Has Come - Radio Remix,259773,False,2001,59,0.574,0.691,6,-5.103,1,0.035,0.0826,1.65e-05,0.149,0.195,91.969,pop
Gareth Gates,Anyone of Us (Stupid Mistake),227866,False,2003,53,0.7,0.72,1,-6.061,1,0.0261,0.285,0.0,0.0845,0.654,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),298853,False,2002,68,0.64,0.889,2,-3.073,1,0.322,0.107,0.0,0.339,0.436,99.931,pop
Dirty Vegas,Days Go By,432146,False,2002,48,0.786,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,Dance/Electronic
Liberty X,Just A Little,237359,False,2019,43,0.786,0.614,5,-6.554,0,0.0574,0.00616,0.0,0.049,0.742,103.887,pop
Red Hot Chili Peppers,Can't Stop,269000,False,2002,80,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,rock
Charli Baltimore,Down 4 U,318213,True,2002,47,0.64,0.59,7,-7.442,1,0.32,0.252,0.0,0.665,0.519,83.133,pop
Gareth Gates,Unchained Melody,233666,False,2003,35,0.368,0.426,10,-8.049,1,0.0277,0.255,5.39e-06,0.108,0.208,106.52,pop
Big Brovaz,Nu Flow,201480,False,2001,45,0.783,0.726,7,-8.718,1,0.106,0.0903,2.53e-06,0.363,0.784,148.062,pop
Justin Timberlake,Like I Love You,283626,False,2002,62,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,pop
A1,Caught in the Middle,206466,False,2001,53,0.519,0.874,5,-5.122,1,0.034,0.0524,0.0,0.243,0.572,96.072,pop
Eminem,Cleanin' Out My Closet,297840,True,2002,71,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,hip hop
Delta Goodrem,Born to Try,251280,False,2003,54,0.542,0.589,8,-6.813,1,0.0284,0.246,0.0,0.188,0.336,133.838,pop
P!nk,Get the Party Started,192533,False,2001,68,0.802,0.903,11,-3.267,0,0.046,0.0011,0.0,0.173,0.96,128.93,pop
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,False,2002,56,0.838,0.764,7,-5.076,0,0.0586,0.0862,0.000122,0.0906,0.924,133.592,pop
Avril Lavigne,Sk8er Boi,204000,False,2002,75,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,pop
DJ Sammy,Heaven,233600,False,2002,63,0.571,0.953,8,-5.601,1,0.0548,0.0011,0.000606,0.226,0.601,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,False,2001,58,0.534,0.543,3,-6.857,1,0.0245,0.579,0.0,0.112,0.418,78.996,pop
Red Hot Chili Peppers,By the Way,216933,False,2002,73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,rock
Atomic Kitten,The Tide Is High - Radio Mix,206093,False,2002,65,0.783,0.649,7,-4.127,1,0.0322,0.0209,0.00482,0.067,0.665,103.997,pop
*NSYNC,Girlfriend,253600,False,2001,50,0.745,0.807,0,-5.191,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,pop
Daniel Bedingfield,If You're Not The One,257026,False,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,pop
P!nk,Don't Let Me Get Me - Radio Edit,210693,False,2001,60,0.624,0.85,0,-4.754,0,0.0756,0.00234,0.0,0.0621,0.615,98.525,pop
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,True,2004,77,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop
t.A.T.u.,All The Things She Said,214440,True,2020,39,0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,pop
JAY-Z,03' Bonnie & Clyde,205560,True,2002,71,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,hip hop
Jamelia,Superstar,215480,False,2003,69,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,pop
Evanescence,Bring Me To Life,235893,False,2003,79,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,metal
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,False,2003,59,0.804,0.836,6,-6.635,0,0.089,0.32,0.0,0.213,0.85,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,210066,False,2004,57,0.564,0.6,7,-6.814,0,0.0305,0.183,2.19e-06,0.38,0.442,78.955,pop
Delta Goodrem,Lost Without You,248546,False,2003,54,0.581,0.747,7,-6.682,1,0.0283,0.0365,1.69e-06,0.193,0.514,146.301,pop
Justin Timberlake,Rock Your Body,267266,False,2002,76,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,pop
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,False,2002,61,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop
Blue,U Make Me Wanna - Radio Edit,222400,False,2003,48,0.6,0.736,7,-6.228,1,0.0329,0.325,0.0,0.137,0.848,158.108,pop
Room 5,Make Luv,212413,False,2003,57,0.883,0.887,1,-4.92,1,0.116,0.0111,0.63,0.0367,0.648,124.814,Dance/Electronic
Fatman Scoop,Be Faithful,164506,True,2009,49,0.649,0.713,7,-6.488,1,0.295,0.000787,0.0,0.318,0.629,101.129,hip hop
Limp Bizkit,Behind Blue Eyes,269973,False,2003,70,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,metal
Eminem,Sing For The Moment,339546,True,2002,71,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,hip hop
Christina Aguilera,Fighter,245960,False,2002,67,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,pop
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,False,2003,0,0.66,0.698,11,-4.722,0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,rock
Nas,I Can,253720,False,2002,58,0.837,0.885,6,-3.914,0,0.182,0.103,0.0,0.0666,0.694,95.313,hip hop
Justin Timberlake,Cry Me a River,288333,False,2002,73,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,pop
Westlife,Mandy,199320,False,2003,57,0.447,0.636,5,-5.08,1,0.0278,0.254,9.25e-05,0.11,0.376,105.678,pop
JAY-Z,Excuse Me Miss,281240,True,2002,56,0.714,0.862,6,-5.531,1,0.286,0.0305,0.0,0.0884,0.887,92.849,hip hop
Junior Senior,Move Your Feet,181826,False,2002,67,0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,pop
Dido,White Flag,240040,False,2003,44,0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
The Roots,The Seed (2.0),267933,True,2002,63,0.758,0.957,7,-2.281,1,0.0357,0.039,0.0,0.133,0.966,111.121,hip hop
Daniel Bedingfield,If You're Not The One,257026,False,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,pop
The Strokes,Reptilia,219826,False,2003,74,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,rock
Avril Lavigne,I'm with You,223066,False,2002,70,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,pop
Will Young,Leave Right Now,214733,False,2003,55,0.641,0.445,6,-8.674,1,0.0368,0.145,0.0,0.108,0.383,81.931,pop
Maroon 5,This Love,206200,False,2002,77,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,pop
Britney Spears,Toxic,198800,False,2003,81,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,pop
Anastacia,Left Outside Alone,257426,False,2004,65,0.663,0.746,2,-3.567,0,0.0321,0.0697,0.0,0.0929,0.325,102.847,pop
Daddy Yankee,Gasolina,192600,False,2004,11,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,latin
O-Zone,Dragostea Din Tei,215431,False,2004,56,0.809,0.965,0,-3.947,1,0.0427,0.177,0.0,0.0577,0.672,130.103,pop
Terror Squad,Lean Back,247426,True,2004,67,0.783,0.916,1,-3.344,1,0.415,0.11,0.0,0.0746,0.695,95.321,hip hop
Anastacia,Sick and Tired,212266,False,1999,56,0.598,0.868,0,-4.552,1,0.0373,0.00908,0.0,0.279,0.47,99.848,pop
The Rasmus,In the Shadows,257920,False,2003,68,0.6,0.796,2,-4.481,1,0.0275,0.000109,5.2e-05,0.484,0.75,105.991,metal
Akon,Locked Up,235066,True,2004,16,0.818,0.579,7,-4.475,1,0.101,0.023,0.0,0.107,0.354,89.987,pop
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,False,2016,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
Spiderbait,Black Betty - Edit,205973,False,2004,63,0.562,0.865,7,-6.476,0,0.0922,2.06e-05,0.591,0.219,0.35,124.047,rock
Britney Spears,My Prerogative,213893,False,2004,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014,pop
JAY-Z,Dirt Off Your Shoulder,245173,True,2003,53,0.779,0.655,1,-7.147,1,0.318,0.0319,2.63e-06,0.339,0.645,163.971,hip hop
Avril Lavigne,Nobody's Home,212413,False,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406,pop
Eminem,Just Lose It,248680,True,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,hip hop
The Shapeshifters,Lola's Theme - Radio Edit,207066,False,2004,65,0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic
Kevin Lyttle,Turn Me On,192106,False,2004,67,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,hip hop
N.E.R.D,She Wants To Move,213786,False,2004,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop
Britney Spears,Everytime,230306,False,2003,63,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57e-05,0.116,0.114,109.599,pop
Franz Ferdinand,Take Me Out,237026,False,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock
Kanye West,Jesus Walks,193733,True,2004,73,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312,hip hop
Evanescence,My Immortal,262533,False,2003,72,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012,metal
Lemar,If There's Any Justice,229080,False,2004,46,0.706,0.665,6,-5.348,0,0.0453,0.0128,0.0,0.338,0.639,89.993,R&B
Avril Lavigne,Don't Tell Me,202013,False,2004,58,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,pop
Green Day,American Idiot,176346,True,2004,77,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,rock
Kanye West,Through The Wire,221226,True,2004,76,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,hip hop
Special D.,Come With Me - Radio Edit,185133,False,2004,61,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,pop
Avril Lavigne,My Happy Ending,242413,True,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,pop
Dido,White Flag,240040,False,2003,44,0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
Kanye West,All Falls Down,223506,True,2004,80,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03,hip hop
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,False,2004,59,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
Eminem,Like Toy Soldiers,296880,True,2004,48,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),189506,False,2001,65,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
Ashlee Simpson,Pieces Of Me,217440,False,2004,56,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001,pop
Will Young,Leave Right Now,214733,False,2003,55,0.641,0.445,6,-8.674,1,0.0368,0.145,0.0,0.108,0.383,81.931,pop
Kanye West,Gold Digger,207626,True,2005,78,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,hip hop
James Blunt,You're Beautiful,209493,True,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,pop
Green Day,Boulevard of Broken Dreams,261266,True,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,rock
Daniel Powter,Bad Day,233640,False,2005,74,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,pop
Akon,Bananza (Belly Dancer),238493,False,2004,28,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop
Madonna,Hung Up,337733,False,2005,74,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop
Crazy Frog,Axel F,168879,False,2005,67,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,pop
Eminem,Ass Like That,265480,True,2004,52,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,hip hop
The Chemical Brothers,Galvanize,393813,False,2005,63,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic
JAY-Z,Numb / Encore,205733,True,2004,76,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,hip hop
Gorillaz,Feel Good Inc.,222640,False,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop
Akon,Lonely,235800,True,2004,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098,pop
Eminem,Mockingbird,250760,True,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,hip hop
Gorillaz,DARE,244999,False,2005,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop
Backstreet Boys,Incomplete,239586,False,2005,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,pop
Kanye West,Diamonds From Sierra Leone - Remix,233400,True,2005,61,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,hip hop
Franz Ferdinand,Do You Want To,215000,False,2005,61,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,rock
Thirty Seconds To Mars,The Kill,231533,False,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock
2Pac,Ghetto Gospel,238053,True,2004,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,hip hop
